Initial Issues
HPC Stage 7C Bleed Solenoid Valve
HPC Stage 7C Bleed Valve
HPC Stage 8 Blade
HPC Stage 8 Vane
HPC Stage 9 Blade
HPC Stage 9 Vane
HPT Case
HPT Module
HPT Stage 1 Blade
HPT Stage 1 Hub
HPT Stage 1 Nozzle (NGV) Assembly
HPT Stage 1 Nozzle Guide Vane (NGV)
HPT Stage 1 Outer Air Seal (BOAS)
HPT Stage 1 Rotating Inner Air Seal
HPT Stage 1 Rotating Outer Air Seal
HPT Stage 2 Blade
HPT Stage 2 Blade Retaining Plate
HPT Stage 2 Hub
HPT Stage 2 Outer Air Seal (BOAS)
HPT Stage 2 Rotating Air Seal
HPT Stage 2 Vane
Hydraulic Filter Assembly
Hydraulic Pump (EDP)
Hydraulic System
Hydraulic Tubes
IDG Power Feeder Cables
Igniter Plug
Ignition Exciter
Ignition Lead
Ignition Relay Box
Ignition System
Inlet Cone
Inlet Cone Fairing
Intake Cowl
Integrated Drive Generator (IDG)
Integrated Drive Generator Fuel Cooled Oil Cooler (IDG FCOC)
Intermediate Structure Rear Fairing
Internal Gearbox Assembly
Issue Deferred (MEL)
Life Limited Part (LLP) Cycles Expired
Line Maintenance
Low Oil Pressure (LOP) Switch
LPC 2.5 Bleed Valve Master Actuator
LPC 2.5 Bleed Valve Master Actuator – Clogged Screens
LPC 2.5 Bleed Valve Master Actuator – Internal Valves
LPC 2.5 Bleed Valve Master Actuator – Jack Piston
LPC 2.5 Bleed Valve Master Actuator – LVDT
LPC 2.5 Bleed Valve Master Actuator – Torque Motor
LPC 2.5 Bleed Valve Mechanism
LPC 2.5 Bleed Valve Slave Actuator
LPC 2.5 Bleed Valve Slave Actuator – Jack Piston
LPC 2.5 Bleed Valve Slave Actuator – Load Valves
LPC 2.5 Bleed Valve System
LPC Front Case
LPC Inlet Guide Vane (IGV)
LPC Mid Case
LPC Rear Case
LPC Splitter Fairing
LPC Stage 1 Fan Disk
LPC Stage 1.5 Blade
LPC Stage 1.5 Stator
LPC Stage 1.5 to 2.5 Drum
LPC Stage 2 Blade
LPC Stage 2 Stator
LPC Stage 2.3 Blade
LPC Stage 2.3 Stator
LPC Stage 2.5 Blade
LPC Stage 2.5 Stator
LPC Stub Shaft
LPC/FIC Module
LPT Blind Cap
LPT Case
LPT Inner Transition Duct (ITD) Segments
LPT Module
LPT Shaft
LPT Stage 3 Blade
LPT Stage 3 Disk
LPT Stage 3 Rotating Air Seal
LPT Stage 3 Vane
LPT Stage 4 Blade
LPT Stage 4 Disk
LPT Stage 4 Rotating Air Seal
LPT Stage 4 Vane
LPT Stage 5 Blade
LPT Stage 5 Disk
LPT Stage 5 Rotating Air Seal
LPT Stage 5 Vane
LPT Stage 6 Blade
LPT Stage 6 Disk
LPT Stage 6 Rotating Air Seal
LPT Stage 6 Vane
LPT Stage 7 Blade
LPT Stage 7 Disk
LPT Stage 7 Rotating Air Seal
LPT Stage 7 Vane
Magnetic Chip Detectors (MCDs)
Magnetic Chip Detectors (MCDs) Findings
Main Gearbox
Maintenance Error
N1 Rotor
N1 Speed Indicating System
N1 Speed Overlimit
N1 Speed Sensor
N1 Vibration Indicating System
N1 Vibration Overlimit
N2 Rotor
N2 Speed Indicating System
N2 Speed Overlimit
N2 Vibration Indicating System
N2 Vibration Overlimit
Nacelle Air Temperature Sensor
Nacelle Basic only
Nacelle Issue
Nacelle Temperature System
No Fault Found
NO OPTION IN DROPDOWN
No. 1 Bearing
No. 2 Bearing
No. 3 Bearing
No. 4 Bearing
No. 4 Bearing Compartment
No. 5 Bearing
No. 5 Bearing Compartment
No. 4 Bearing Pressure Transducer
No. 4 Bearing Scavenge Valve
Oil Filter Clogged
Oil Pressure Indicating System
Oil Pressure Pump
Oil Pressure Transmitter
Oil Quantity Indicating System
Oil Quantity Transmitter
Oil Scavenge Pump
Oil System
Oil Tank
Oil Tank Cap Seal
Oil Tank Filler Neck
Oil Tank Valve
Oil Temperature Indicating System
Oil Temperature Sensor
Oil Tubes
Operator Planned / Convenience / Decision
O-rings / Seals
P12.5 Indicating System
P2.5 Indicating System
P2/T2 Indicating System
P2/T2 Sensor
P3/T3 Indicating System
P3/T3 Sensor
P4.9 Indicating System
Pneumatic Bleed Air Ducts
Pneumatic High Pressure Valve (HPV)
Pneumatic Intermediate Pressure Check Valve (IPV)
Pneumatic Pressure Regulating Valve (PRV)
Pressure Oil Filter Element
Pressure Relief Door
Rear Engine Mount
Scavenge Filter Differential Pressure Switch
Scavenge Oil Filter Assembly
Scavenge Oil Filter Element
Servicing Oil
SIM: 2018-236
SIM: 2018-282
SIM: 2018-286
SIM: 2018-295
SIM: 2018-310
SIM: 2018-327
SIM: 2018-328
SIM: 2018-337
SIM: 2018-340
SIM: 2018-354
SIM: 2018-382
SIM: 2018-384
SIM: 2018-390
SIM: 2018-433
SIM: 2018-441
SIM: 2018-458
SIM: 2018-461
SIM: 2018-469
SIM: 2018-539
SIM: 2018-575
SIM: 2019-705
SIM: 2019-813
SIM: 2019-845
SIM: 2019-855
SIM: 2020-1019
SIM: 2020-1020
SIM: 2020-1086
SIM: 2020-896
SIM: 2020-913
SIM: 2020-918
SIM: 2020-921
SIM: 2021-1223
SIM: 2021-1233
SIM: 2021-1239
SIM: 2021-1243
SIM: 2021-1264
SIM: 2021-1276
SIM: 2021-1300
SIM: 2022-1322
SIM: 2022-1365
SIM: 2022-1368
SIM: 2022-1421
SIM: 2022-1438
SIM: 2023-1595
SIM: 2023-1810
SIM: 2024-1882
SIM: 2024-1939
SIM: 2024-1940
SIM: 2024-1960
SIM: 2024-1979
SIM: 2024-2131
Starter
Starter Air Duct
Starter Air Valve
SV – Hot Section Refurbishment
SV – HPC PV
SV – HPT PV
SV – Miscellaneous
TEC Case
TEC Module
Terminal Block
Thrust Reverser
Thrust Reverser Actuator
Thrust Reverser Cowl Doors (C-Ducts)
Thrust Reverser Hydraulic Control Unit (HCU)
Thrust Reverser Opening Actuator
Troubleshooting
Unknown
Variable Inlet Guide Vane (VIGV)
Variable Stator Vane (VSV) Actuator
Variable Stator Vane (VSV) Actuator – Clogged Screens
Variable Stator Vane (VSV) Actuator – Internal Valves
Variable Stator Vane (VSV) Actuator – Jack Piston
Variable Stator Vane (VSV) Actuator – LVDT
Variable Stator Vane (VSV) Actuator – Mounting Feet
Variable Stator Vane (VSV) Actuator – Torque Motor
Variable Stator Vane (VSV) Mechanism
Variable Stator Vane (VSV) System
Vibration Transducer
